OBJECTID,GEOID,GEOG,F2000_POP,F2010_POP,F2020_POP,F2020_HH,F2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2010,HA_90_10,HA_70_90,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,DISAB_ONE,DISAB_TWOMOR,DISAB_ANY,DIS_HEAR,DIS_VIS,DIS_COG,DIS_AMB,DIS_SLFCARE,POP_18OV,DIS_INDPLIV,DIS_UND18,DIS_18_64,DIS_65_75,DIS_75OV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN_,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,F2000_WHITE,F2000_HISP,F2000_BLACK,F2000_ASIAN,F2000_OTHER,F2000_UND19,F2000_A20_34,F2000_A35_49,F2000_A50_64,F2000_OV65,F2000_MED_AGE,F2000_TOT_HH,F2000_OWN_OCC_HU,F2000_RENT_OCC_HU,F2000_VAC_HU,F2000_HU_TOT,F2000_LT_HS,F2000_HS,F2000_SOME_COLL,F2000_ASSOC,F2000_BACH,F2000_GRAD_PROF,F2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,GlobalID
1,1,Rogers Park,63484,54991,55628,26402,1.978713733808045,55711,3371,8428,15487,12307,9989,3986,1664,479,35.685648928485435,25004,10836,13510,2822,3539,52385,46938,32297,30425,1865,14641,29914,5081,24833,11756,1727,8399,2410,541,904760,9509,11944,3612,496,38472,4269,5852,6269,2465,12002,7615,5608,5857,4390,3650,3221,2835,57590.88286208887,36162.460986160724,25561,7482,18079,3006,28567,1375,413,984,3340,6877,3761,11718,99,4.4275605996917475,650,1895,3951,8475,13596,1942.2577996715927,13893,9032,4192,1195,255,1167,3203,1888,1171,260127.73722627736,17715,1110,3931,7923,4568,183,1209.100372561911,24166,2327,1395,23226,22295,2335,3371,2482,5853,826,950,2949,2822,906,44923,2025,180,4064,892,717,20123,Health Care,Education,Professional,Retail Trade,Accommodation and Food Service,3772,2194,2183,1959,1447,9804,Education,Health Care,Manufacturing,Retail Trade,Accommodation and Food Service,2745,2615,2456,628,592,Outside of Chicago,The Loop,Near North Side,Near West Side,Rogers Park,8104,3406,1873,1036,992,Outside of Chicago,Rogers Park,West Ridge,Edgewater,Uptown,4447,992,684,400,241,,,,7052.9161341,,,,,,,,,,1175.863747011108,147.4264153562734,0.12537712445937046,371.6150108945873,0.3160357752666362,22.20159807903078,0.018881097521259875,60.057094533283205,0.05107487554229008,80.50991640685942,0.06846874615490536,49.88400998676335,0.042423291060347756,376.46912073832596,0.3201638979815997,0,0,64.78595166212504,0.05509647850510101,2.914629353859518,0.002478713508489504,12198,7370,2884,3109,9989,1359,15572,3785,102,551,3132,6870,405,1290,5175,4379,814,1857,1708,9661,6362,2628,671,41844,13867,52340,17198,7200,35142,8634,1147,246,302,252,97,449,3054,3017,20170,17639,18767,4063,2845,,,,,,,,,,,,,,,,,,,,,,,,,54f2251e-62d9-411a-813e-6ba4f4592da5
2,2,West Ridge,73199,71942,77122,26493,2.85097950401993,79265,5639,17910,14121,16060,14675,6741,2850,1269,37.00173398612811,31506,17540,9093,16577,4549,77692,60100,38610,36159,2451,21490,34507,3618,30889,20432,3446,4316,1788,907,1013260,3535,12208,8440,2333,51927,8416,10980,8175,3073,13062,8221,4432,5489,4330,3654,4275,4336,68091.37291280148,32132.489156626507,26516,12869,13647,2187,28703,5682,1152,3245,6528,5004,2246,4786,60,5.476390952616807,193,1627,3228,12350,11305,1948.124,5891,10602,9282,1828,1100,2670,3687,4088,2272,300068.46188954817,13221,486,1823,6490,4241,181,1347.1290863369657,25197,2878,1319,23944,23026,2572,3214,3793,7007,1331,1287,3027,3880,1586,56670,3454,377,3593,1255,1782,24780,Health Care,Retail Trade,Professional,Education,Accommodation and Food Service,5026,2718,2379,2118,1770,9767,Health Care,Professional,Retail Trade,Accommodation and Food Service,Finance,4386,1447,1228,728,441,Outside of Chicago,The Loop,Near North Side,West Ridge,Near West Side,11556,3286,1543,1311,861,Outside of Chicago,West Ridge,Rogers Park,Edgewater,Uptown,4657,1311,384,251,173,,,,11659.3396892,,,,,,,,,,2259.587648413344,553.1764005406012,0.2448129865327575,519.2701173540112,0.22980746850808667,27.293911969461753,0.012079156118872935,136.78911465950532,0.060537202332273776,166.8662886783582,0.07384811507335408,3.30753220575471,0.0014637769010984018,655.8643270568689,0.2902584139709779,0,0,188.43871012341947,0.08339517621975802,8.58124582536321,0.003797704342820629,6858,7454,3844,8360,18038,2994,8478,2807,27,167,2613,6379,363,780,5236,4330,1118,1433,1779,12138,8617,2599,922,48174,31091,73626,41175,18643,32451,14065,4290,744,841,1868,441,4206,10942,3778,36403,11353,4962,16347,4134,,,,,,,,,,,,,,,,,,,,,,,,,471a52bf-e329-4d8c-96c8-77ddc7cfcfd1
3,77,Edgewater,62198,56521,56296,30466,1.7483424144948467,56099,2213,6211,16782,12416,9587,4949,2598,1343,37.763899688958006,29925,8695,7079,7394,3006,53011,50218,35847,33341,2465,14371,33014,6877,26137,10903,1603,10977,2208,446,955745,11416,13625,3671,747,43299,2999,6013,5966,2265,14087,11969,5557,5637,4766,3827,4380,5292,67795.6674473068,51716.79926558406,29459,10924,18535,3304,32763,2507,407,1769,3209,4663,2196,17976,36,4.339442815249267,508,1792,6045,9675,14743,1945.8938848920864,17295,9610,4107,1345,406,1254,4291,2762,2482,294929.24528301886,18184,1170,3435,7440,5375,764,1271.7928902627511,28274,1853,1185,27488,25670,1971,3226,2828,6054,1514,1018,2684,3166,948,49039,2265,82,3122,1078,1772,23772,Health Care,Professional,Education,Retail Trade,Finance,3463,3341,2585,1997,1961,6298,Retail Trade,Accommodation and Food Service,Health Care,Professional,Other Service,1358,1023,845,572,493,Outside of Chicago,The Loop,Near North Side,Near West Side,Edgewater,8001,5174,2793,1429,854,Outside of Chicago,Edgewater,Rogers Park,West Ridge,Uptown,2342,854,329,275,240,,,,7118.8840089,,,,,,,,,,1111.6017063720537,153.3051847218462,0.13791377239082328,349.8209030270352,0.3146998614897321,27.211648865268455,0.024479675327307118,77.0581266950498,0.06932170601513847,64.53701046911432,0.05805767488405937,4.87942579097796,0.004389545070871647,355.71441047684704,0.32000167725344353,0,0,73.50299654201571,0.0661235009992097,5.571999783899146,0.005012586569414814,15494,9252,2447,2266,9726,766,19733,3879,135,511,3233,6668,351,1304,5013,4720,770,2117,1833,13419,8390,3986,1043,41350,14749,53886,18223,7331,35663,6217,2520,1157,952,424,158,1268,4397,1130,29782,12176,10564,7172,2504,,,,,,,,,,,,,,,,,,,,,,,,,e136320c-1914-4040-b6d6-c0072554b91c
4,3,Uptown,63551,56362,57182,32215,1.709824615862176,57464,2375,4633,19605,13634,10467,3131,2419,1200,36.75938226502823,30392,8084,11160,5507,2321,55346,51589,38506,36792,1714,13083,36433,8141,28292,11841,1029,12705,2177,540,1025850,13476,14642,3482,440,46323,4284,5186,6874,2877,15970,11132,7423,4929,5490,4273,4395,5530,66870.91017251636,49783.41036126966,32040,9609,22431,3086,35126,1485,592,1229,2166,6907,2829,19898,20,4.242935278030994,1392,3835,5594,8584,15721,1946.8756998880178,18540,10596,5004,707,279,1015,3064,3992,1454,329886.31394840404,22098,2926,4343,6880,6604,1345,1240.5192160855179,30373,3056,1667,29325,27459,2715,3675,3885,7560,1896,1662,3359,4310,1499,49637,3057,104,4422,1121,1913,24403,Professional,Health Care,Education,Finance,Retail Trade,3765,3699,2345,2212,1764,11069,Health Care,Real Estate,Retail Trade,Education,Accommodation and Food Service,5214,1070,1031,957,704,Outside of Chicago,The Loop,Near North Side,Near West Side,Uptown,7244,6003,3058,1646,1089,Outside of Chicago,Uptown,Edgewater,West Ridge,Rogers Park,3530,1089,543,540,391,,,,6667.1411371,,,,,,,,,,1487.2655052351909,87.00893961771678,0.058502627346256844,354.57985727183376,0.23841059718235164,31.75793304882928,0.02135323715707855,63.03146916585828,0.04238077797406504,236.67114916552305,0.15913174099206767,7.514564517189413,0.005052604589253273,347.62686549540024,0.23373558001026035,0,0,348.90663920878205,0.2345960677368142,10.168087744057944,0.006836767011852399,17976,9494,2573,1997,10019,1161,22021,5219,157,781,4281,6208,729,1433,4046,5451,889,2099,2463,14091,8510,4277,1304,44068,13396,55089,17117,6871,37972,5157,2139,459,425,516,347,2243,2213,3618,26784,12674,13415,8206,2472,,,,,,,,,,,,,,,,,,,,,,,,,5452aee5-163f-43f6-9dd0-b8d34da99939
5,4,Lincoln Square,44574,39493,40494,19143,2.0879172543488482,42271,2517,5308,12115,11379,6740,2327,1286,599,36.10940979955456,25830,8326,1538,4360,2217,41821,35722,28262,26555,1682,7460,26167,5547,20620,10238,1569,6806,1488,519,723825,4193,10284,4152,739,32259,1960,3898,3642,1390,12419,8950,2027,2952,3178,2452,3955,4804,90568.9233278956,57350.92969175085,19368,7725,11643,1145,20513,3165,432,2708,4427,4226,2294,3232,29,5.20453488372093,832,1875,2044,5283,10479,1938.9383528962687,6053,8232,3936,1512,780,341,1595,2503,3071,440676.4960971379,11430,57,901,4705,5098,669,1507.1645081289612,18808,550,560,18496,17917,872,1507,1150,2657,494,349,1218,1265,469,34699,1086,70,1429,348,810,18139,Professional,Health Care,Education,Finance,Retail Trade,2759,2604,1863,1608,1395,8672,Health Care,Retail Trade,Accommodation and Food Service,Professional,Manufacturing,4061,951,747,676,441,Outside of Chicago,The Loop,Near North Side,Near West Side,Lincoln Square,5851,4147,2012,1202,738,Outside of Chicago,Lincoln Square,West Ridge,Albany Park,Lake View,3359,738,399,283,249,,,,9222.5586239,,,,,,,,,,1637.9970063588044,234.42566191807373,0.14311727128194923,343.0454600533001,0.20942984555013022,36.213215390080414,0.022108230509273522,55.18782322038875,0.033692261344890284,386.6462326536704,0.2360481924891719,38.797049663520454,0.02368566579359299,456.737648048714,0.27883912258424803,0,0,82.6305293053416,0.05044608078315457,4.313386105715104,0.0026333296635892957,7228,6560,2932,2648,9365,767,10003,1226,0,42,1184,3415,33,246,3136,3169,410,1556,1203,11115,6875,3240,1000,32962,9309,39754,12262,5612,27492,5997,805,295,1112,215,236,1175,2124,303,23716,11831,1342,5921,1764,,,,,,,,,,,,,,,,,,,,,,,,,ec29d631-aa14-4fe5-80d5-7fd589abb229
6,5,North Center,31895,31867,35114,14931,2.348000803697006,35814,3188,6462,8428,10232,4834,1698,608,364,34.79372738238842,26156,4521,882,2256,1999,35736,27106,22117,21307,802,4989,21056,6153,14903,8119,1177,4213,1167,227,511260,1821,7199,4768,658,25056,776,1433,2213,723,11394,8517,1202,920,1110,1470,2588,7156,148585.30405405405,88926.35614564137,14446,8398,6048,1425,15871,4616,537,2608,3877,1788,1020,1400,25,5.684691912708601,1502,3331,779,1910,8349,1937.523655527608,2873,5856,3653,2084,1405,95,658,1535,5424,674921.909861669,5936,164,328,1641,3126,677,1736.8122518434486,14075,455,371,13874,13627,572,1139,938,2077,555,442,854,897,451,26377,709,303,1032,300,442,16679,Professional,Health Care,Finance,Education,Retail Trade,2962,2058,1805,1528,1115,10592,Finance,Professional,Manufacturing,Retail Trade,Health Care,3290,1052,1005,978,825,Outside of Chicago,The Loop,Near North Side,Near West Side,North Center,4775,4610,2063,1403,535,Outside of Chicago,North Center,Lake View,Irving Park,Logan Square,4741,535,475,288,283,,,,11712.4441711,,,,,,,,,,1309.766148722,270.36857427125113,0.2064250740752938,279.27295231560066,0.21322352283123236,46.15389563288867,0.035238271868549345,84.97418490144413,0.06487737141806377,61.13978203130171,0.04667992228304164,76.90772594378505,0.058718669755534234,437.74709534282334,0.3342177500693186,0,0,43.10261450692084,0.03290863376563677,10.099323775984391,0.0077107839333294525,3968,4927,2185,3366,8606,535,5840,621,0,102,519,1199,62,84,1053,1085,198,324,563,11179,6959,3125,1095,32229,3585,32626,4671,1188,27955,2235,304,109,215,193,88,372,1099,56,21938,6496,1333,1324,804,,,,,,,,,,,,,,,,,,,,,,,,,e804c87e-b4f7-4ed1-a984-bc33d22a5ed0
7,6,Lake View,94817,94368,103050,57721,1.780028066041822,101739,5484,7220,47583,20084,12160,5498,2604,1106,31.72229569817625,76083,9864,4383,7203,4206,101374,90408,75296,72535,2749,15112,71390,19949,51441,17715,2011,26346,4498,871,1748210,22047,25973,6620,1080,76754,1498,3475,5850,1865,37015,27051,5781,6097,8259,7590,9589,18404,100624.64775502536,87043.80882454122,55720,20581,35139,4316,60036,4029,1671,3359,8401,9105,3783,29646,42,4.356368143786799,2579,8667,11453,15648,21689,1961.2858673651626,27292,19046,9212,2887,1599,707,4239,5770,8329,459976.52582159627,34737,1548,1472,9174,17038,5505,1745.1440212241805,54864,1409,856,54030,52152,1690,4447,2482,6929,1367,975,2835,3164,980,89524,2211,161,3839,1382,1547,50758,Professional,Finance,Health Care,Education,Administration,10789,6221,5745,4177,3426,22019,Health Care,Retail Trade,Accommodation and Food Service,Professional,Other Service,5386,4584,3596,1866,1576,The Loop,Outside of Chicago,Near North Side,Near West Side,Lake View,15800,13181,7194,4284,2059,Outside of Chicago,Lake View,Uptown,West Town,Logan Square,9051,2059,699,581,566,,,,7171.461892,,,,,,,,,,1994.0775283726482,238.70040476824528,0.11970467615822686,620.6237194266171,0.3112334954865589,96.0797643372077,0.04818256209708039,124.82599358201121,0.06259836531224579,94.98595480059392,0.047634033004780536,12.278061279183644,0.006157263749521152,615.8642079644834,0.30884667180773334,0,0,177.23827525606282,0.08888233919405614,13.481146958243114,0.006760593189796877,27824,18193,5390,4313,16547,1087,39173,4127,5,395,3727,7037,221,987,5829,8226,661,3318,4247,35413,19619,12112,3682,89429,12310,96255,15196,3284,81059,5606,2031,1636,520,225,363,934,3301,580,75363,8268,4193,5143,1850,,,,,,,,,,,,,,,,,,,,,,,,,93338088-26fe-45e3-bb65-448a59f30016
8,7,Lincoln Park,64320,64116,70492,35570,1.9031206072533033,69099,3351,9234,28886,11356,9444,4101,1993,734,30.999595422494508,54909,4695,2378,4661,2456,65797,59892,45830,44176,1654,14062,43557,10468,33089,11770,1715,14556,4063,985,1029445,10557,15616,5499,994,48328,1068,1981,3042,1000,21923,19314,3727,2580,2859,3455,5405,14640,134277.48885586925,109537.88952083242,32666,14925,17741,3845,36511,4217,3369,1198,5277,4408,2231,15734,77,4.625212802179094,2560,5562,9783,5500,13106,1968.946498346859,14404,10606,6494,3468,1539,350,1215,2699,7776,631673.6652669467,17496,806,1046,2744,8260,4640,1948.2833081407903,31673,936,993,31253,30287,1413,2033,1182,3215,817,620,1189,1251,409,58290,981,149,1832,407,827,31544,Professional,Finance,Health Care,Education,Administration,7152,4162,3409,2458,2164,20175,Retail Trade,Health Care,Accommodation and Food Service,Other Service,Transportation,5187,2886,2881,1764,1576,The Loop,Outside of Chicago,Near North Side,Near West Side,Lincoln Park,10408,8444,4488,2802,1095,Outside of Chicago,Lincoln Park,Lake View,West Town,Logan Square,8224,1095,1009,645,605,,,,8446.5816716,,,,,,,,,,2024.3339730349367,327.2056198475329,0.16163618464446225,368.08540947178386,0.18183037699058135,62.81855227390487,0.0310317136948137,253.56689912875592,0.1252594198913737,97.15300556225708,0.04799257773488959,23.384512546563297,0.011551706812243337,541.9797308888707,0.26773236931666955,0,0,309.98192571585736,0.15312785827089787,40.15831759941047,0.019837792644068524,13893,11209,3371,4193,12405,566,20261,2727,79,304,2344,2978,177,374,2427,2823,282,991,1550,23362,13699,6721,2942,60010,9089,65748,10241,1861,55507,2992,1226,1207,109,264,116,497,3538,292,54341,3254,3323,2325,1077,,,,,,,,,,,,,,,,,,,,,,,,,607049e5-22e8-46fc-aaf4-93c33c0345c5
9,8,Near North Side,72811,80484,105481,66685,1.5562120416885357,101208,2771,5382,44460,16568,15960,9764,4489,1814,34.3027694870549,68643,7083,6549,14952,3981,99299,94959,72761,70718,2019,22198,70198,17551,52647,14652,1682,13276,19358,3679,1374965,28980,29080,4880,664,83491,1241,3411,5925,1714,36638,34562,7822,5725,5813,6861,11039,26344,121561.58244475351,118674.05023318315,63604,24814,38790,10863,74467,1436,1635,340,1588,1791,1683,65941,53,3.612227298154018,10604,24128,17508,12406,9821,1986.8015599028258,43556,21050,7882,1545,434,584,4323,6542,10434,484413.39066339063,37634,1533,1379,3106,17031,14585,2272.81511702813,62279,2003,1325,61848,57557,1756,4859,2478,7337,1965,1542,2124,3245,1157,94146,2053,257,3259,1442,2379,48216,Professional,Finance,Health Care,Education,Administration,11002,6226,5793,3418,3409,165197,Professional,Health Care,Administration,Information,Transportation,29222,25340,14772,14104,14102,The Loop,Outside of Chicago,Near North Side,Near West Side,West Town,15833,13238,8933,4071,701,Outside of Chicago,Near North Side,Lake View,West Town,Lincoln Park,77795,8933,7194,5328,4488,,,,6103.5332691,,,,,,,,,,1755.3883624365988,83.35928054333593,0.04748765704908033,321.46252271331576,0.183129004152166,21.587202403488504,0.012297678887151784,262.3506870055279,0.1494544982862751,117.65970184373232,0.06702773264396754,78.41010137721928,0.04466823584746837,756.2590936491384,0.43082152635408794,0,0,54.945481951638996,0.03130104034378519,59.35429094920156,0.0338126264360177,36975,21381,3194,2054,17744,995,45860,5390,70,381,4939,6456,516,552,5388,5319,285,1082,3952,43970,23440,12087,8443,82308,18900,98437,20873,4157,77564,4717,1631,2953,328,771,1527,1720,6714,512,50397,2805,13884,4434,1291,,,,,,,,,,,,,,,,,,,,,,,,,676a4dd6-7b31-426e-9ebd-5558e015aad0
10,9,Edison Park,11328,11187,11525,4733,2.434819353475597,11402,866,1899,2173,2108,2694,886,516,260,39.01578947368421,9166,1674,50,178,334,11396,8984,6317,6113,204,2667,5917,745,5172,4087,342,499,221,23,159030,293,1474,1960,788,8229,205,1453,1636,379,3191,1365,557,467,371,438,1003,1679,120023.58490566038,57872.267058410805,4515,3586,929,367,4882,3203,125,157,400,573,186,238,0,6.665300546448087,33,378,501,2629,1341,1953.4970760233919,426,1445,1594,1101,316,80,526,1614,1354,448513.67419738404,929,0,68,281,506,74,1673.94578313253,4185,158,330,4081,4025,434,600,227,827,229,159,282,302,150,8861,217,101,398,76,252,6027,Education,Public Administration,Health Care,Professional,Retail Trade,875,855,703,549,489,2092,Administration,Professional,Accommodation and Food Service,Finance,Health Care,610,330,205,141,136,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,2909,1602,256,201,157,Outside of Chicago,Edison Park,Norwood Park,Portage Park,Forest Glen,1276,133,84,31,30,,,,15481.0401471,,,,,,,,,,726.2759428565762,379.55187372679745,0.522600090860714,40.028210349376884,0.055114327747024926,6.279280559017947,0.00864586059992623,24.071245676105054,0.03314338842262686,10.269166738449124,0.014139483538527536,8.989164717400149,0.01237706522681189,236.7026883977934,0.32591288576460126,0,0,20.232664144135125,0.027858094906126663,0.151648547501021,0.00020880293364056575,1358,1277,838,1042,2939,239,1576,334,0,0,334,596,27,70,499,371,47,200,124,3120,2141,726,253,10038,1364,10536,1537,344,8999,648,567,0,0,19,0,4,277,22,10572,463,19,200,74,,,,,,,,,,,,,,,,,,,,,,,,,ddbbd371-8056-4648-8760-3ab06354236d
